"filename", "language", "JSON", "TypeScript", "JSON with Comments", "vue", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 8, 34
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 3, 36
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\package-lock.json", "JSON", 2745, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2746
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\App.vue", "vue", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\api\admin.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 0, 11, 8, 104
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\api\student.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\api\teacher.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 5, 8, 69
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\api\user.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 5, 3, 31
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\components\HelloWorld.vue", "vue", 0, 0, 0, 32, 0, 0, 0, 0, 0, 7, 39
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\main.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\router\index.ts", "TypeScript", 0, 200, 0, 0, 0, 0, 0, 0, 45, 5, 250
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\router\permission.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 18, 5, 91
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\settings.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 2, 0, 19
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\store\store-name.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\store\useRoutesStore.ts", "TypeScript", 0, 75, 0, 0, 0, 0, 0, 0, 4, 7, 86
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\store\useUserStore.ts", "TypeScript", 0, 94, 0, 0, 0, 0, 0, 0, 20, 5, 119
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\style.css", "CSS", 0, 0, 0, 0, 0, 70, 0, 0, 0, 10, 80
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\types\vue.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\utils\auth.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\utils\devLog.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\utils\get_page_title.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\utils\request.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 33, 13, 128
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\utils\validate.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 41, 10, 89
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\Layout\Aside\components\item.vue", "vue", 0, 0, 0, 68, 0, 0, 0, 0, 3, 6, 77
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\Layout\Aside\index.vue", "vue", 0, 0, 0, 71, 0, 0, 0, 0, 0, 5, 76
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\Layout\Navbar\Navbar.vue", "vue", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\Layout\index.vue", "vue", 0, 0, 0, 35, 0, 0, 0, 0, 0, 2, 37
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\admin\class\index.vue", "vue", 0, 0, 0, 99, 0, 0, 0, 0, 26, 5, 130
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\admin\courses\index.vue", "vue", 0, 0, 0, 130, 0, 0, 0, 0, 2, 7, 139
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\admin\topic\detail.vue", "vue", 0, 0, 0, 114, 0, 0, 0, 0, 0, 8, 122
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\admin\topic\index.vue", "vue", 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\admin\user\detail.vue", "vue", 0, 0, 0, 122, 0, 0, 0, 0, 0, 9, 131
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\admin\user\index.vue", "vue", 0, 0, 0, 147, 0, 0, 0, 0, 3, 8, 158
"c:\Users\LuzekkA\Desktop\LabSystem\Front_End\LabSystem_FrontEnd\src\views\error-page\404.vue", "vue", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
